17,46,95
58,59,91
21,22,51
25,71,77
3,5,82
10,27,35
10,45,83
28,56,94
35,56,59
9,33,78
3,21,26
63,91,94
18,23,27
5,45,66
11,19,91
10,23,37
21,29,68
29,86,90
68,73,97
8,35,99
7,59,79
5,59,86
21,33,38
18,51,94
5,51,82
29,49,59
50,58,90
82,91,99
3,51,90
17,46,72
3,43,86
0,20,42
4,16,93
29,63,79
3,5,59
5,10,86
2,11,21
13,45,58
25,52,77
11,49,91
18,28,82
35,58,82
28,37,94
28,86,99
3,10,30
3,21,39
19,27,91
43,56,91
10,79,94
23,49,51
29,67,90
7,8,10
19,29,51
3,35,59
49,51,59
8,47,86
79,90,94
23,30,37
0,42,74
40,74,84
5,10,63
11,86,99
45,59,94
19,35,67
34,45,97
24,47,94
0,16,21
35,58,59
7,63,67
18,59,83
0,45,84
37,47,79
5,18,39
5,24,82
3,50,79
17,45,61
10,23,27
29,59,63
11,23,51
28,30,67
27,28,82
31,53,80
29,59,99
35,39,86
28,45,52
7,21,78
37,43,86
8,29,50
24,28,94
24,29,59
25,71,80
28,45,88
17,60,81
17,20,45
3,49,91
11,19,58
3,50,56
15,44,80
27,58,82
27,37,59
11,23,28
28,79,86
16,76,93
43,58,90
86,91,94
1,46,65
7,18,50
7,28,94
7,29,59
30,49,91
44,52,77
21,42,89
51,56,99
43,59,91
5,44,45
23,58,94
7,51,83
3,37,94
10,37,59
7,43,79
5,43,86
11,27,39
37,43,99
10,58,82
11,19,35
6,13,26
9,14,45
8,35,43
18,29,50
23,51,91
43,56,58
3,30,91
10,11,43
15,25,80
49,91,99
51,83,94
24,35,51
19,27,94
21,39,61
28,63,91
37,50,79
43,47,94
5,21,39
24,43,91
45,59,61
49,83,94
1,14,95
2,17,45
7,58,99
9,21,61
5,43,63
5,35,59
8,58,67
0,45,51
10,47,86
3,67,99
29,43,86
3,19,59
16,22,76
19,58,59
27,39,59
10,29,37
18,50,86
46,65,81
9,36,45
58,79,83
4,13,45
37,50,56
22,64,98
1,14,72
7,30,94
60,65,96
5,50,79
5,10,43
44,71,80
9,21,38
29,43,63
2,21,28
50,56,58
28,37,51
3,49,58
8,23,59
51,82,83
58,83,94
11,37,79
8,45,83
8,37,79
15,77,80
3,11,67
25,44,71
18,35,56
19,39,58
5,49,91
5,50,56
33,45,49
7,21,22
29,58,83
30,79,86
3,5,29
30,50,59
5,35,49
11,18,43
53,71,80
1,17,95
21,68,86
8,24,37
5,47,59
50,67,86
21,26,89
18,23,59
60,81,95
5,37,94
11,14,45
27,28,39
49,79,91
45,47,54
19,23,27
49,63,83
24,43,58
7,18,30
5,30,91
27,50,63
35,39,43
20,40,84
35,43,50
43,51,67
30,79,99
5,23,51
8,19,79
7,43,59
39,49,58
0,34,45
39,82,91
19,82,90
9,45,97
29,37,94
5,18,94
18,43,50
37,79,86
50,58,99
37,58,63
6,26,66
37,50,59
3,51,99
19,83,91
4,64,93
5,8,49
24,49,51
5,19,58
28,39,91
8,19,56
42,45,82
39,67,83
7,11,83
58,63,83
3,27,43
21,26,43
3,19,39
21,49,63
18,27,83
15,31,80
3,8,29
21,26,79
18,23,49
19,59,83
7,49,51
23,28,37
10,23,59
23,47,50
4,45,57
5,27,39
43,91,94
18,83,99
7,23,35
8,27,37
5,50,59
34,62,73
20,40,74
58,59,90
24,37,90
0,14,21
71,75,77
10,28,30
23,39,51
59,83,99
10,45,82
47,58,86
8,29,82
4,21,86
13,26,66
7,37,90
23,37,99
7,30,51
0,21,37
28,50,91
24,37,67
67,91,94
29,79,86
29,39,50
29,58,63
1,14,65
9,31,45
29,50,59
23,30,59
47,58,63
3,47,91
8,29,59
30,51,83
25,31,53
11,28,67
19,86,91
3,5,94
24,27,58
10,45,95
23,29,99
13,45,93
18,79,83
25,53,77
11,50,91
7,45,71
18,23,39
4,22,64
12,38,85
45,75,96
35,59,82
23,49,50
39,82,94
7,59,91
59,79,83
5,51,94
50,91,99
3,35,94
49,51,94
29,79,99
18,37,58
23,59,99
4,8,21
24,79,82
21,26,46
4,30,45
30,39,91
39,58,86
35,58,94
23,35,43
59,67,86
50,58,79
0,21,27
43,79,86
10,56,59
19,29,63
7,79,82
7,90,91
23,30,49
21,23,98
9,12,21
45,79,84
7,63,79
1,17,65
3,10,19
0,45,96
7,45,61
39,58,99
19,59,63
19,51,59
36,76,93
3,50,91
28,90,94
27,67,86
7,27,49
49,50,83
11,23,63
21,41,44
30,58,90
2,15,21
20,21,41
28,83,91
54,70,87
30,50,91
10,37,58
34,68,69
33,38,78
63,79,99
15,75,80
6,21,65
6,13,61
10,59,82
30,43,51
8,37,39
8,51,86
3,21,41
8,43,82
37,67,82
56,82,94
30,58,67
23,37,79
11,83,91
22,93,98
24,37,47
11,32,45
24,43,90
27,51,91
5,19,28
43,90,91
7,10,58
23,82,86
71,77,80
42,45,52
7,21,67
24,28,83
10,19,23
7,43,91
23,29,79
11,19,47
45,52,93
10,45,54
45,93,94
8,43,59
3,19,94
23,43,99
19,58,94
8,24,82
27,39,94
8,35,91
10,21,68
45,49,60
39,50,90
37,50,91
21,42,78
39,43,51
0,1,21
23,67,83
24,35,99
42,74,92
3,5,51
10,45,52
2,21,27
3,9,21
20,84,92
10,39,94
63,82,94
14,72,96
28,37,86
7,63,82
3,50,58
21,37,41
8,24,59
5,7,8
10,29,49
50,79,82
18,43,59
23,24,99
50,90,91
21,30,81
3,83,91
23,47,82
24,28,37
3,5,28
5,50,91
0,21,92
5,8,94
19,35,59
4,21,33
28,45,67
2,21,40
28,37,63
10,24,91
68,69,73
16,64,98
7,24,67
72,95,96
3,63,90
31,52,71
23,47,59
16,45,84
27,91,94
18,23,94
19,50,79
23,28,82
10,43,82
35,43,49
8,27,82
7,43,58
8,39,56
90,91,99
11,28,99
17,81,96
7,43,94
29,47,58
52,53,75
50,59,94
21,39,40
19,23,39
2,45,86
7,27,91
12,33,38
18,24,35
3,5,18
21,23,68
3,37,50
37,50,94
37,51,59
0,21,82
63,67,82
9,21,40
33,45,74
10,35,91
18,45,94
11,30,37
7,11,82
3,86,91
2,61,66
8,19,91
23,29,59
7,35,67
15,52,53
21,49,62
18,27,82
24,58,91
31,71,75
3,7,63
21,26,78
23,43,79
48,70,87
56,59,67
5,9,21
43,47,50
8,56,94
12,21,41
47,63,79
26,32,66
7,50,51
5,50,58
5,29,35
43,47,86
49,83,86
21,41,99
11,24,83
7,58,91
3,37,63
8,58,59
24,49,99
23,39,86
25,31,75
23,58,99
3,19,51
30,63,79
23,43,56
49,59,79
27,39,51
16,45,51
23,24,79
30,37,63
46,72,81
28,58,94
23,28,49
35,49,90
35,90,91
28,29,67
2,45,76
29,50,58
7,10,28
8,27,49
14,17,81
24,30,63
29,50,94
30,51,82
10,39,51
3,19,28
20,74,84
47,59,63
28,35,82
18,58,59
58,83,86
7,24,47
28,59,67
10,27,82
3,11,23
1,81,95
1,60,72
35,49,67
7,30,63
50,63,67
21,31,39
59,90,91
43,49,86
45,47,69
58,59,79
24,37,79
17,65,96
31,77,80
21,41,89
24,28,30
7,30,99
5,23,30
8,59,94
5,43,45
37,83,94
47,86,94
18,27,49
28,35,59
8,23,28
30,59,99
18,49,67
11,28,79
43,50,86
18,39,59
7,45,83
5,86,91
17,95,96
4,22,76
0,18,21
21,30,51
35,51,90
7,28,30
23,28,39
5,19,37
27,49,90
27,90,91
23,90,99
